trip_id,destination,trip_duration_days,total_budget_inr,group_size,primary_interest,secondary_interest,accommodation_preference,travel_season,destination_cost_tier,is_first_time,transport_mode,has_special_occasion,has_health_conditions,accommodation_budget_pct,food_dining_budget_pct,activities_attractions_budget_pct,local_transport_budget_pct,shopping_misc_budget_pct,contingency_budget_pct
T00083,Mumbai,26,87740,5,Food,Beach,Luxury,Peak,Tier-1,True,Flight,False,False,41.7,20.0,16.9,7.3,7.6,6.5
T00084,Bangalore,19,25770,10,Spiritual,Beach,Budget,Off-season,Tier-1,False,Train,False,False,27.0,19.2,30.0,8.7,7.3,7.8
T00085,Mumbai,25,29474,5,Beach,Cultural,Budget,Peak,Tier-1,True,Train,False,False,32.7,19.8,25.0,8.5,7.6,6.4
T00086,Mumbai,2,16290,3,Food,Heritage,Budget,Off-season,Tier-1,True,Train,True,False,27.7,24.6,24.9,8.2,7.9,6.7
T00087,Mumbai,8,13763,10,Beach,Food,Luxury,Moderate,Tier-1,True,Flight,False,False,36.8,20.6,18.9,8.4,7.5,7.8
T00088,Delhi,3,21299,1,Food,Cultural,Mid-range,Peak,Tier-1,False,Train,False,True,38.6,21.8,17.3,8.1,7.5,6.7
T00089,Kerala,2,26939,9,Food,Beach,Mid-range,Moderate,Tier-3,False,Flight,False,False,24.0,27.6,21.9,9.8,8.7,8.0
T00090,Varanasi,19,20620,3,Cultural,Heritage,Mid-range,Off-season,Tier-2,False,Train,False,False,27.6,22.3,24.0,9.9,9.0,7.2
T00091,Jaipur,20,37295,1,Spiritual,Cultural,Budget,Peak,Tier-1,True,Bus,False,False,37.1,17.9,23.2,7.9,7.9,6.0
T00092,Northeast India,24,18861,4,Beach,Adventure,Mid-range,Peak,Tier-3,True,Train,False,False,32.3,20.5,24.4,8.1,8.4,6.3
T00093,Delhi,29,78382,7,Food,Spiritual,Mid-range,Moderate,Tier-1,False,Train,True,False,33.7,23.2,19.1,8.7,7.6,7.7
T00094,Rajasthan (non-GT),5,32216,4,Beach,Adventure,Mid-range,Peak,Tier-3,True,Own-vehicle,False,False,33.2,19.4,23.5,8.8,8.1,7.0
T00095,Mumbai,24,23386,4,Heritage,Cultural,Mid-range,Peak,Tier-1,False,Train,False,False,39.6,18.7,18.9,7.4,7.6,7.8
T00096,Hyderabad,12,47348,1,Food,Heritage,Luxury,Moderate,Tier-2,True,Train,False,False,34.3,23.8,17.4,8.0,7.9,8.6
T00097,Pune,11,26118,1,Cultural,Spiritual,Mid-range,Off-season,Tier-2,False,Train,False,False,27.8,21.6,23.7,9.6,9.4,7.9
T00098,Rajasthan (non-GT),10,21201,10,Food,Cultural,Luxury,Off-season,Tier-3,True,Flight,False,False,27.2,27.4,19.2,8.8,8.2,9.2
T00099,Bangalore,27,25670,10,Adventure,Beach,Mid-range,Moderate,Tier-1,False,Bus,True,False,33.0,20.0,23.8,8.5,7.4,7.3
T00100,Rajasthan (non-GT),4,33080,3,Spiritual,Beach,Mid-range,Moderate,Tier-3,False,Train,True,False,28.1,20.1,24.6,9.6,9.1,8.5
T00101,Goa,4,51595,5,Food,Adventure,Luxury,Peak,Tier-1,False,Own-vehicle,False,False,38.8,22.1,16.7,7.5,7.4,7.5
T00102,Northeast India,2,26648,2,Adventure,Heritage,Mid-range,Peak,Tier-3,False,Train,False,False,32.8,20.1,24.2,8.1,6.9,7.9
T00103,Northeast India,20,35332,4,Heritage,Beach,Mid-range,Peak,Tier-3,False,Flight,False,True,32.8,20.3,22.6,8.4,7.4,8.5
T00104,Northeast India,28,29583,3,Food,Beach,Mid-range,Off-season,Tier-3,True,Flight,False,False,23.8,27.5,23.8,9.3,8.1,7.5
T00105,Northeast India,13,29092,5,Spiritual,Food,Mid-range,Off-season,Tier-3,False,Flight,False,False,22.0,24.9,24.1,11.1,9.5,8.4
T00106,Lucknow,5,26589,8,Heritage,Spiritual,Mid-range,Peak,Tier-2,True,Flight,False,False,34.3,19.7,19.8,10.6,8.1,7.5
T00107,Pune,25,11745,10,Cultural,Food,Budget,Off-season,Tier-2,True,Train,False,False,20.4,25.6,29.4,9.5,7.5,7.6
T00108,Pune,13,19542,10,Heritage,Food,Mid-range,Moderate,Tier-2,False,Flight,True,False,26.7,24.2,22.0,9.8,7.5,9.8
T00109,Rishikesh,28,26154,5,Cultural,Food,Mid-range,Off-season,Tier-3,True,Flight,False,False,21.5,26.4,24.1,10.8,8.5,8.7
T00110,Delhi,24,30084,10,Cultural,Heritage,Mid-range,Peak,Tier-1,True,Flight,False,False,43.5,18.0,16.8,7.8,7.1,6.8
T00111,Rishikesh,27,16486,9,Beach,Food,Mid-range,Off-season,Tier-3,False,Flight,True,False,21.2,26.6,26.5,9.8,8.3,7.6
T00112,Rishikesh,30,70816,10,Heritage,Adventure,Mid-range,Peak,Tier-3,True,Train,True,False,31.4,20.7,23.6,9.4,8.1,6.8
T00113,Hyderabad,29,18013,5,Cultural,Food,Luxury,Moderate,Tier-2,True,Flight,False,False,34.6,22.0,18.0,9.4,9.0,7.0
T00114,Lucknow,29,27384,3,Beach,Cultural,Luxury,Moderate,Tier-2,True,Flight,False,False,35.8,20.0,20.2,8.1,8.4,7.5
T00115,Kerala,16,21601,7,Cultural,Heritage,Luxury,Off-season,Tier-3,False,Flight,True,False,29.3,22.2,22.8,10.0,8.2,7.5
T00116,Jaipur,11,23883,5,Food,Adventure,Alternative,Moderate,Tier-1,False,Flight,False,False,30.3,23.9,21.6,8.5,8.4,7.3
T00117,Himachal Pradesh,3,19314,7,Adventure,Beach,Mid-range,Off-season,Tier-3,True,Bus,False,False,21.9,23.6,29.5,9.9,8.8,6.3
T00118,Himachal Pradesh,11,32603,5,Cultural,Food,Mid-range,Moderate,Tier-3,True,Train,False,False,24.5,25.8,23.4,9.8,9.3,7.2
T00119,Kerala,3,43614,2,Food,Adventure,Mid-range,Moderate,Tier-3,True,Train,False,False,25.8,26.8,22.2,8.7,8.7,7.8
T00120,Mumbai,28,10859,9,Heritage,Cultural,Mid-range,Peak,Tier-1,False,Train,False,False,38.2,18.9,20.2,8.2,7.0,7.5
T00121,Kerala,4,62318,9,Adventure,Beach,Mid-range,Off-season,Tier-3,True,Flight,False,False,21.1,21.9,31.1,9.8,8.2,7.9
T00122,Kolkata,10,42047,3,Food,Heritage,Mid-range,Peak,Tier-2,True,Train,False,False,35.0,22.9,18.5,8.2,6.7,8.7
T00123,Himachal Pradesh,11,21045,1,Food,Cultural,Budget,Moderate,Tier-3,False,Own-vehicle,True,False,21.5,26.6,28.2,8.6,7.7,7.4
T00124,Hyderabad,12,5233,8,Spiritual,Adventure,Luxury,Peak,Tier-2,True,Train,False,False,39.9,18.1,17.5,9.4,7.6,7.5
T00125,Varanasi,7,9614,10,Heritage,Cultural,Mid-range,Peak,Tier-2,False,Flight,False,True,33.9,19.7,20.3,9.5,7.9,8.7
T00126,Lucknow,7,12357,4,Heritage,Adventure,Mid-range,Moderate,Tier-2,False,Flight,False,False,29.3,21.1,24.1,9.5,8.6,7.4
T00127,Goa,21,23073,8,Cultural,Food,Mid-range,Peak,Tier-1,True,Train,False,False,38.7,21.1,17.9,8.4,7.3,6.6
T00128,Agra,17,13943,7,Heritage,Spiritual,Mid-range,Moderate,Tier-2,False,Flight,True,False,28.1,21.3,23.8,10.3,8.6,7.9
T00129,Varanasi,11,53949,6,Food,Spiritual,Mid-range,Peak,Tier-2,True,Train,False,False,33.9,24.3,18.4,8.9,8.1,6.4
T00130,Udaipur,8,24702,8,Food,Heritage,Budget,Moderate,Tier-2,True,Bus,False,False,22.5,27.0,26.7,9.2,7.2,7.4
T00131,Rajasthan (non-GT),29,28644,2,Adventure,Beach,Budget,Off-season,Tier-3,True,Train,False,False,20.3,21.3,35.4,7.9,7.2,7.9
T00132,Kerala,29,16510,6,Beach,Adventure,Luxury,Peak,Tier-3,False,Bus,False,False,36.8,19.6,20.1,9.1,8.0,6.4
T00133,Pune,28,14237,4,Cultural,Beach,Budget,Peak,Tier-2,False,Train,False,False,31.9,19.8,25.8,8.7,7.4,6.4
T00134,Lucknow,21,27849,10,Spiritual,Adventure,Luxury,Moderate,Tier-2,True,Train,False,False,34.6,19.1,19.9,10.9,8.3,7.2
T00135,Rishikesh,11,47625,5,Adventure,Heritage,Mid-range,Moderate,Tier-3,True,Flight,False,False,24.3,21.6,27.1,9.4,7.8,9.8
T00136,Kolkata,22,38487,5,Cultural,Spiritual,Mid-range,Off-season,Tier-2,False,Flight,False,False,24.8,21.8,24.9,11.4,9.4,7.7
T00137,Mumbai,23,27209,5,Spiritual,Beach,Mid-range,Off-season,Tier-2,True,Flight,False,False,26.0,20.5,25.4,11.5,9.3,7.3
T00138,Kolkata,28,11275,6,Cultural,Beach,Budget,Moderate,Tier-2,False,Flight,True,False,22.7,21.7,30.5,10.0,8.2,6.9
T00139,Rishikesh,8,38534,8,Adventure,Beach,Budget,Peak,Tier-3,False,Flight,False,False,26.2,20.5,29.6,8.1,7.4,8.2
T00140,Agra,3,12435,2,Beach,Adventure,Budget,Peak,Tier-2,True,Own-vehicle,True,False,30.3,20.0,26.3,8.1,7.6,7.7
T00141,Varanasi,21,8643,5,Adventure,Spiritual,Budget,Off-season,Tier-2,True,Flight,False,False,20.0,21.1,35.3,8.8,7.7,7.1
T00142,Delhi,7,5446,10,Beach,Cultural,Budget,Peak,Tier-1,False,Flight,False,False,33.8,19.4,24.5,7.7,7.1,7.5
T00143,Rishikesh,15,7894,3,Heritage,Beach,Budget,Moderate,Tier-3,False,Flight,False,False,21.8,21.7,31.7,8.1,8.2,8.5
T00144,Agra,24,46148,8,Spiritual,Cultural,Luxury,Off-season,Tier-2,False,Flight,False,False,32.7,19.5,19.6,10.8,8.6,8.8
T00145,Bangalore,7,17405,3,Spiritual,Adventure,Mid-range,Peak,Tier-1,True,Train,False,False,39.9,17.7,19.4,8.3,7.5,7.2
T00146,Pune,27,25412,1,Cultural,Heritage,Mid-range,Peak,Tier-2,False,Flight,False,False,35.5,19.5,20.0,8.0,8.1,8.9
T00147,Udaipur,3,16074,5,Heritage,Adventure,Mid-range,Off-season,Tier-2,True,Bus,False,False,25.1,22.3,26.1,10.3,8.2,8.0
T00148,Rajasthan (non-GT),10,13535,7,Adventure,Spiritual,Budget,Off-season,Tier-3,False,Flight,False,False,20.3,21.0,35.4,8.6,7.4,7.3
T00149,Lucknow,22,12208,6,Cultural,Spiritual,Budget,Peak,Tier-2,False,Train,False,False,29.6,19.8,25.9,9.3,8.2,7.2
T00150,Agra,15,10815,3,Heritage,Food,Luxury,Peak,Tier-2,True,Train,False,False,39.0,20.4,16.9,8.2,7.4,8.1
T00151,Kolkata,5,26744,3,Heritage,Spiritual,Mid-range,Peak,Tier-2,False,Train,False,False,37.8,19.0,20.3,8.5,7.8,6.6
T00152,Bangalore,18,30252,6,Cultural,Beach,Budget,Moderate,Tier-1,True,Train,True,False,29.5,19.9,26.2,9.3,8.2,6.9
T00153,Mumbai,19,141616,5,Beach,Food,Mid-range,Peak,Tier-2,True,Train,False,False,33.4,21.6,20.8,8.7,7.9,7.6
T00154,Northeast India,7,30392,9,Heritage,Food,Mid-range,Peak,Tier-3,True,Flight,False,False,31.8,23.2,20.1,9.5,8.0,7.4
T00155,Bangalore,13,95495,3,Adventure,Cultural,Mid-range,Peak,Tier-1,True,Bus,False,False,38.8,18.7,20.3,7.9,6.9,7.4
T00156,Kerala,13,32434,8,Cultural,Adventure,Luxury,Moderate,Tier-3,True,Train,True,False,30.7,21.8,22.4,10.0,8.6,6.5
T00157,Bangalore,12,12925,7,Food,Spiritual,Alternative,Peak,Tier-1,False,Train,False,True,34.6,22.8,19.0,7.8,8.3,7.5
T00158,Lucknow,3,10554,10,Spiritual,Cultural,Mid-range,Peak,Tier-2,False,Train,False,False,34.7,19.2,19.6,10.0,9.1,7.4
T00159,Agra,4,55980,3,Food,Spiritual,Mid-range,Moderate,Tier-2,True,Flight,False,False,30.0,25.1,19.3,9.0,8.2,8.4
T00160,Udaipur,24,15337,10,Spiritual,Adventure,Budget,Moderate,Tier-2,False,Bus,False,False,23.0,20.7,31.4,10.5,8.5,5.9
T00161,Delhi,12,19454,2,Adventure,Heritage,Luxury,Peak,Tier-1,True,Train,False,False,41.8,18.5,18.5,7.2,7.1,6.9
T00162,Goa,17,6877,9,Beach,Spiritual,Luxury,Peak,Tier-1,False,Bus,True,True,43.4,17.8,17.4,8.0,6.7,6.7
T00163,Rajasthan (non-GT),29,11511,1,Heritage,Adventure,Mid-range,Moderate,Tier-3,True,Flight,False,False,27.0,21.3,26.6,8.9,8.3,7.9
T00164,Hyderabad,8,20128,10,Heritage,Cultural,Budget,Moderate,Tier-2,False,Flight,False,False,22.7,21.6,31.3,9.7,7.9,6.8
T00165,Rajasthan (non-GT),20,13183,7,Adventure,Food,Mid-range,Peak,Tier-3,True,Bus,False,False,29.9,23.5,22.7,9.5,7.3,7.1
T00166,Rajasthan (non-GT),14,20551,2,Beach,Food,Luxury,Moderate,Tier-3,True,Flight,False,False,33.4,22.9,19.8,8.3,8.3,7.3
T00167,Varanasi,27,130559,6,Beach,Heritage,Budget,Peak,Tier-2,True,Train,False,False,29.4,20.2,27.3,8.9,7.5,6.7
T00168,Himachal Pradesh,14,54812,6,Adventure,Spiritual,Mid-range,Peak,Tier-3,False,Train,False,False,31.1,19.5,23.6,9.4,8.5,7.9
T00169,Kolkata,7,32059,8,Heritage,Food,Budget,Peak,Tier-2,False,Bus,False,False,27.7,22.9,25.2,8.6,7.6,8.0
T00170,Kerala,18,140335,5,Spiritual,Heritage,Mid-range,Peak,Tier-3,False,Bus,False,True,32.8,19.2,21.9,9.9,8.7,7.5
T00171,Goa,12,70476,4,Beach,Heritage,Budget,Off-season,Tier-1,True,Train,False,False,28.0,20.6,28.9,7.5,7.8,7.2
T00172,Lucknow,13,17367,7,Heritage,Cultural,Mid-range,Moderate,Tier-2,True,Bus,False,False,27.7,21.9,23.4,10.1,8.5,8.4
T00173,Himachal Pradesh,21,17934,1,Food,Heritage,Alternative,Moderate,Tier-3,False,Flight,True,False,23.8,26.7,23.4,9.1,8.2,8.8
T00174,Goa,6,136625,3,Heritage,Beach,Mid-range,Peak,Tier-1,True,Train,False,False,39.2,17.9,19.1,7.4,8.1,8.3
T00175,Himachal Pradesh,29,21664,5,Cultural,Spiritual,Mid-range,Moderate,Tier-3,False,Train,False,False,24.9,20.6,24.9,11.5,9.5,8.6
T00176,Jaipur,25,11930,9,Beach,Adventure,Mid-range,Peak,Tier-1,True,Own-vehicle,False,True,37.5,18.9,21.1,8.6,7.0,6.9
T00177,Rishikesh,29,68697,10,Adventure,Food,Mid-range,Peak,Tier-3,False,Own-vehicle,False,False,30.7,21.7,23.0,9.2,7.8,7.6
T00178,Agra,3,13114,8,Spiritual,Beach,Mid-range,Moderate,Tier-2,True,Train,False,False,28.5,20.0,22.9,11.4,9.5,7.7
T00179,Mumbai,21,33013,6,Cultural,Spiritual,Mid-range,Peak,Tier-1,False,Own-vehicle,False,False,38.2,18.7,18.9,8.8,7.9,7.5
